Month,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MeanValue,DateTime,Train
1996-04-01,61895,10701,Yonkers,NY,New York,Westchester,275,181700.0,1996-04-01,HUDSON
1996-04-01,61876,10583,Scarsdale,NY,New York,Westchester,2142,407700.0,1996-04-01,HARLEM
1996-04-01,61905,10801,New Rochelle,NY,New York,Westchester,2355,214700.0,1996-04-01,NEWHAVEN
1996-04-01,61899,10705,Yonkers,NY,New York,Westchester,2384,183800.0,1996-04-01,HUDSON
1996-04-01,61870,10573,Port Chester,NY,New York,Westchester,2897,260900.0,1996-04-01,NEWHAVEN
1996-04-01,61898,10704,Yonkers,NY,New York,Westchester,3165,174000.0,1996-04-01,HUDSON
1996-04-01,61864,10562,Ossining,NY,New York,Westchester,3473,201200.0,1996-04-01,HUDSON
1996-04-01,61904,10710,Yonkers,NY,New York,Westchester,4126,216100.0,1996-04-01,HUDSON
1996-04-01,61886,10598,Yorktown,NY,New York,Westchester,4137,204700.0,1996-04-01,missing
1996-04-01,61902,10708,Eastchester,NY,New York,Westchester,4470,299400.0,1996-04-01,missing
1996-04-01,61865,10566,Peekskill,NY,New York,Westchester,4580,143200.0,1996-04-01,HUDSON
1996-04-01,61881,10591,Sleepy Hollow,NY,New York,Westchester,4983,258000.0,1996-04-01,missing
1996-04-01,61859,10552,Mount Vernon,NY,New York,Westchester,5136,228400.0,1996-04-01,missing
1996-04-01,61851,10543,Mamaroneck,NY,New York,Westchester,5838,286400.0,1996-04-01,NEWHAVEN
1996-04-01,61891,10605,White Plains,NY,New York,Westchester,5843,334700.0,1996-04-01,HARLEM
1996-04-01,61897,10703,Yonkers,NY,New York,Westchester,5850,163800.0,1996-04-01,HUDSON
1996-04-01,61909,10805,New Rochelle,NY,New York,Westchester,6064,257000.0,1996-04-01,NEWHAVEN
1996-04-01,61889,10603,Greenburgh,NY,New York,Westchester,6127,216500.0,1996-04-01,missing
1996-04-01,61847,10538,Larchmont,NY,New York,Westchester,6435,407200.0,1996-04-01,NEWHAVEN
1996-04-01,61866,10567,Cortlandt Manor,NY,New York,Westchester,6618,181200.0,1996-04-01,missing
1996-04-01,61875,10580,Rye,NY,New York,Westchester,6626,491700.0,1996-04-01,NEWHAVEN
1996-04-01,61856,10549,Mount Kisco,NY,New York,Westchester,6670,307500.0,1996-04-01,HARLEM
1996-04-01,61841,10530,Hartsdale,NY,New York,Westchester,6808,243000.0,1996-04-01,HARLEM
1996-04-01,61892,10606,White Plains,NY,New York,Westchester,7268,226400.0,1996-04-01,HARLEM
1996-04-01,61833,10520,Croton-on-Hudson,NY,New York,Westchester,7477,224100.0,1996-04-01,missing
1996-04-01,61908,10804,New Rochelle,NY,New York,Westchester,7575,322500.0,1996-04-01,NEWHAVEN
1996-04-01,61840,10528,Harrison,NY,New York,Westchester,7979,444500.0,1996-04-01,NEWHAVEN
1996-04-01,61907,10803,Pelham,NY,New York,Westchester,8106,288900.0,1996-04-01,NEWHAVEN
