Month,RegionName,lower,upper,predicted
2018-04-01,10701,458232.6226648896,461300.32312912046,459766.47289700503
2018-04-01,10583,1062171.923218877,1068859.8502369337,1065515.8867279054
2018-04-01,10801,526974.2744012661,530521.5313237126,528747.9028624893
2018-04-01,10705,475893.237203246,480345.0870880649,478119.1621456554
2018-04-01,10550,300378.51744390576,307334.4066320314,303856.46203796857
2018-04-01,10573,606721.5834320476,611493.1320549177,609107.3577434827
2018-04-01,10704,450701.47427086753,454366.41526833444,452533.944769601
2018-04-01,10562,415262.9117348484,418568.71839050064,416915.8150626745
2018-04-01,10710,501245.89021179534,504376.2211481107,502811.055679953
2018-04-01,10598,445109.2257700548,448063.30443195073,446586.26510100276
2018-04-01,10708,884564.9504870286,893806.1547041917,889185.5525956101
2018-04-01,10566,280729.0118708328,285153.5689877002,282941.2904292665
2018-04-01,10591,619689.9488771401,624745.0237584022,622217.4863177711
2018-04-01,10552,514184.1668313796,519825.3851445673,517004.77598797344
2018-04-01,10543,770418.4629724079,776616.9396755258,773517.7013239668
2018-04-01,10605,738965.3532524843,744512.2072003997,741738.780226442
2018-04-01,10703,420954.9330482491,424764.5302819174,422859.73166508327
2018-04-01,10805,601528.39715922,610108.3111172486,605818.3541382343
2018-04-01,10603,496111.35207325214,503191.15220416844,499651.2521387103
2018-04-01,10538,1202768.0743098208,1212896.8063713512,1207832.440340586
2018-04-01,10567,383363.65394115774,387339.3621371336,385351.5080391457
2018-04-01,10580,1715022.3878000479,1732424.8701708775,1723723.6289854627
2018-04-01,10549,711887.6617975848,719564.625015084,715726.1434063344
2018-04-01,10530,601678.6138535646,605952.1912453055,603815.402549435
2018-04-01,10606,605206.266620716,609133.0071519528,607169.6368863344
2018-04-01,10520,538796.4083404683,544419.6645959672,541608.0364682177
2018-04-01,10804,723160.6205868829,729252.6808238222,726206.6507053525
2018-04-01,10528,1175175.0396158556,1192253.389021861,1183714.2143188582
2018-04-01,10803,872913.4399928512,882155.9496182672,877534.6948055592
2018-04-01,10570,634378.6742378498,640132.9620375877,637255.8181377187
2018-04-01,10707,618758.5010415927,623189.4049229451,620973.9529822689
2018-04-01,10522,722531.191823354,728214.5022505852,725372.8470369696
